Date,Type,Description,Value
05/12/2022,POS,"7913 01DEC22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-4.65
05/12/2022,POS,"7913 03DEC22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-5
28/11/2022,POS,"7913 27NOV22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.25
28/11/2022,POS,"7913 24NOV22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-4.65
28/11/2022,POS,"7913 25NOV22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-4.65
21/11/2022,POS,"7913 18NOV22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-11
21/11/2022,POS,"7913 17NOV22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-3.3
17/11/2022,POS,"7913 16NOV22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-11
15/11/2022,POS,"7913 14NOV22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.65
14/11/2022,POS,"7913 11NOV22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.35
11/11/2022,POS,"7913 10NOV22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-1.65
18/10/2022,POS,"7913 17OCT22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-10.05
04/10/2022,POS,"7913 03OCT22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.8
20/09/2022,POS,"7913 19SEP22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-5.6
15/09/2022,POS,"7913 13SEP22 C , PRET A MANGER , MANCHESTER GB",-12
12/09/2022,POS,"7913 09SEP22 , TFL TRAVEL RE , TFL.GOV.UK/CP GB , REFUND",0.2
31/08/2022,POS,"7913 29AUG22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-2.8
30/08/2022,POS,"7913 27AUG22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-7.6
30/08/2022,POS,"7913 26AUG22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-3.4
24/08/2022,POS,"7913 22AUG22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.8
18/08/2022,POS,"7913 16AUG22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-5.6
17/08/2022,POS,"7913 15AUG22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.8
15/08/2022,POS,"7913 13AUG22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-8.1
11/08/2022,POS,"7913 09AUG22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-3.6
15/06/2022,POS,"8115 14JUN22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-3.3
14/06/2022,POS,"8115 13JUN22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-7.6
07/06/2022,POS,"8115 06JUN22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.8
06/06/2022,POS,"8115 02JUN22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-5.6
06/06/2022,POS,"8115 03JUN22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-8.55
31/05/2022,POS,"8115 30MAY22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.8
30/05/2022,POS,"8115 28MAY22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.9
24/05/2022,POS,"8115 23MAY22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.8
17/05/2022,POS,"8115 16MAY22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.8
16/05/2022,POS,"8115 15MAY22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-4.6
10/05/2022,POS,"8115 09MAY22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.8
09/05/2022,POS,"8115 07MAY22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-8.45
04/05/2022,POS,"8115 03MAY22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.8
26/04/2022,POS,"8115 25APR22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.8
25/04/2022,POS,"8115 23APR22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-5.25
20/04/2022,POS,"8115 19APR22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.8
13/04/2022,POS,"8115 12APR22 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-3.4
